Parcel_ID,LotSize,PropertyType,ZipCode,Neighborhood,Potential Use,StreetNum,StreetName,StreetSuffix,Address,Location
1402401000,3778,,02121,Dorchester,,20,ELMONT,ST,20 ELMONT ST,"(42.2983524933061, -71.0775784249294)"
1402029000,5166,,02124,Roxbury,,190,HARVARD,ST,190 HARVARD ST,"(42.2957710834888, -71.0841069959381)"
1402033000,5760,,02124,Roxbury,,182,HARVARD,ST,182 HARVARD ST,"(42.2958671005641, -71.08333686165)"
1402039000,8105,,02124,Roxbury,,168,HARVARD,ST,168 HARVARD ST,"(42.296037886434, -71.0822425359331)"
1402340000,2899,,02121,Dorchester,,,NORWELL,ST,NORWELL ST,"(42.2982330596971, -71.0785074467992)"
1402341000,2768,,02121,Dorchester,,116,NORWELL,ST,116 NORWELL ST,"(42.2983682396098, -71.0785330359299)"
1402343000,3510,,02121,Dorchester,,,NORWELL,ST,NORWELL ST,"(42.2986893720875, -71.0785769694813)"
1402344000,3348,,02121,Dorchester,,106,NORWELL,ST,106 NORWELL ST,"(42.298852666722, -71.0785904561314)"
1402345000,3285,,02121,Dorchester,,,NORWELL,ST,NORWELL ST,"(42.2990171009257, -71.0786075974169)"
1402640000,11443,,02121,Roxbury,,131,GLENWAY,ST,131 GLENWAY ST,"(42.298744149245, -71.0816472495429)"
1400714000,15000,,02121,Roxbury,,90,GENEVA,AV,90 GENEVA AV,"(42.3071428033781, -71.0792534298332)"
1401561000,3715,,02121,Dorchester,,259,WASHINGTON,ST,259 WASHINGTON ST,"(42.3010846623608, -71.0767735841662)"
1401651000,2683,,02121,Dorchester,,143,NORWELL,ST,143 NORWELL ST,"(42.2974947791169, -71.0787422338302)"
1401652000,2683,,02121,Dorchester,,147,NORWELL,ST,147 NORWELL ST,"(42.2973600301765, -71.0787221138891)"
1401657000,4528,,02121,Dorchester,,2 14,ERIE,ST,2 14 ERIE ST,"(42.3029626848451, -71.0788047176559)"
1401658000,2890,,02121,Dorchester,,8,GREENWOOD,ST,8 GREENWOOD ST,"(42.3027825475181, -71.0789207220442)"
1702085000,3091,,02124,Mattapan,,3,DYER,CT,3 DYER CT,"(42.2834854916692, -71.081519972011)"
1702014000,6252,,02124,Mattapan,,22,STANTON,ST,22 STANTON ST,"(42.2848466448813, -71.0795259405015)"
1700418000,4612,,02124,Dorchester,,78,SPENCER,ST,78 SPENCER ST,"(42.2944352386723, -71.0760673606857)"
1400665000,7495,,02121,Roxbury,,54,GENEVA,AV,54 GENEVA AV,"(42.3080685586399, -71.0803977570202)"
1400666000,23370,,02121,Roxbury,,48,GENEVA,AV,48 GENEVA AV,"(42.3082183759237, -71.0806185029554)"
1401385000,4926,,02121,Dorchester,,241,GENEVA,AV,241 GENEVA AV,"(42.3044560755034, -71.0732033598541)"
1401000000,2420,,02121,Roxbury,,10,MERRILL,ST,10 MERRILL ST,"(42.3031803430546, -71.0801288717984)"
1401019000,6290,,02121,Roxbury,,4,FENELON,ST,4 FENELON ST,"(42.3035097015049, -71.0789349640268)"
1400530000,4410,,02121,Roxbury,,38,INTERVALE,ST,38 INTERVALE ST,"(42.3116888589055, -71.0798054038509)"
1401194000,14172,,02121,Dorchester,,,WASHINGTON,ST,WASHINGTON ST,"(42.3020123897914, -71.077100962812)"
1401195000,9005,,02121,Dorchester,,,WASHINGTON,ST,WASHINGTON ST,"(42.3022433934621, -71.0772708454189)"
1401196000,4469,,02121,Dorchester,,220,WASHINGTON,ST,220 WASHINGTON ST,"(42.3023470678435, -71.0773625999254)"
1401197000,4428,,02121,Dorchester,,218,WASHINGTON,ST,218 WASHINGTON ST,"(42.3024206709296, -71.0774204543085)"
1401148000,4885,,02121,Dorchester,,,BOWDOIN,AV,BOWDOIN AV,"(42.302098502621, -71.0764590125317)"
1401708000,3410,,02121,Dorchester,,115 117,HARVARD,ST,115 117 HARVARD ST,"(42.2968231727772, -71.0791345451475)"
1402219000,3770,,02124,Roxbury,,17,HELEN,ST,17 HELEN ST,"(42.2931857328418, -71.0809606737545)"
1402220000,3765,,02124,Roxbury,,19,HELEN,ST,19 HELEN ST,"(42.2931580445137, -71.0811007426193)"
1402155000,4600,,02124,Roxbury,,29 27,BROWNING,AV,29 27 BROWNING AV,"(42.2942896109021, -71.0820543459402)"
1401700000,3746,,02121,Dorchester,,130,GREENWOOD,ST,130 GREENWOOD ST,"(42.2976045297132, -71.079345187555)"
1800516000,6526,,02126,Mattapan,,11,COOKSON,TE,11 COOKSON TE,"(42.272251108701, -71.0914490170473)"
1800532000,109675,,02126,Mattapan,,,COOKSON,TE,COOKSON TE,"(42.2729673010448, -71.0912311450625)"
1812628000,4975,,02136,Hyde Park,,,MANILA,AV,MANILA AV,"(42.2429144090815, -71.136314375678)"
1812629000,4925,,02136,Hyde Park,,,MANILA,AV,MANILA AV,"(42.2429703765229, -71.1364879580127)"
1802213000,4000,,02126,Mattapan,,,ORLANDO,ST,ORLANDO ST,"(42.2743817285273, -71.0995841990667)"
1802214000,4000,,02126,Mattapan,,,ORLANDO,ST,ORLANDO ST,"(42.2742964730069, -71.0996746313681)"
1804263000,5062,,02136,Hyde Park,,,PINEWOOD,ST,PINEWOOD ST,"(42.2675836323467, -71.1084600108197)"
1806245000,4802,,02131,Roslindale,,460 464,HYDE PARK,AV,460 464 HYDE PARK AV,"(42.2846609645469, -71.1186819722371)"
1808517035,6593,,02136,Hyde Park,,,SHERRIN,ST,SHERRIN ST,"(42.2674105032526, -71.1254080976683)"
1802110000,3295,,02126,Mattapan,,,CUMMINS,HW,CUMMINS HW,"(42.2710533104201, -71.1045228975483)"
1802111000,3759,,02126,Mattapan,,,CUMMINS,HW,CUMMINS HW,"(42.2710048388445, -71.1043830182103)"
1802112000,4233,,02126,Mattapan,,,CUMMINS,HW,CUMMINS HW,"(42.2709554569353, -71.1042475401921)"
1802147000,8611,,02126,Mattapan,,,WOODHAVEN,ST,WOODHAVEN ST,"(42.2732534849362, -71.0953612230126)"
1801802025,4000,,02126,Mattapan,Buildable (extra cost),,HOLLINGSWORTH,ST,HOLLINGSWORTH ST,"(42.2676056332634, -71.0993104826032)"
1801802026,4000,,02126,Mattapan,Buildable (extra cost),,HOLLINGSWORTH,ST,HOLLINGSWORTH ST,"(42.2676893945563, -71.0992171586886)"
1806661000,4180,,02131,Hyde Park,,,AMERICAN LEGION,HW,AMERICAN LEGION HW,"(42.2773286183042, -71.1161071428008)"
1806860000,5923,,02131,Hyde Park,,,WILMOT,ST,WILMOT ST,"(42.2769273078457, -71.1160612308705)"
1806861000,1071,,02131,Hyde Park,,,WILMOT,ST,WILMOT ST,"(42.2770291010258, -71.1159648592924)"
1803307000,5624,,02126,Mattapan,,,WABASH,ST,WABASH ST,"(42.2795980987102, -71.099592584323)"
1803299000,3711,,02126,Mattapan,,,WABASH,ST,WABASH ST,"(42.2793416335227, -71.0995218132063)"
1806847000,26866,,02131,Hyde Park,,,AMERICAN LEGION,HW,AMERICAN LEGION HW,"(42.2764519708643, -71.1162674958255)"
0104382000,9716,,02128,East Boston,Commercial,18,BARNES,AV,18 BARNES AV,"(42.386147988313, -71.0060361956577)"
1806348000,3223,,02131,Roslindale,,588,HYDE PARK,AV,588 HYDE PARK AV,"(42.2802001578262, -71.1186308408348)"
1809174000,7631,,02136,Hyde Park,,91 99,MAPLE,ST,91 99 MAPLE ST,"(42.2531895796877, -71.1202747103733)"
1402464000,6537,,02121,Roxbury,Commercial,8,OLD,RD,8 OLD RD,"(42.3030038990155, -71.08429354954)"
1402463000,7051,,02121,Roxbury,Commercial,14,ELLINGTON,ST,14 ELLINGTON ST,"(42.3027037398887, -71.0844799496046)"
1802796010,7127,,02136,Mattapan,,,ITASCA,ST,ITASCA ST,"(42.274098082224, -71.1015364248829)"
1802633000,6000,,02126,Mattapan,,,COLORADO,ST,COLORADO ST,"(42.274551159061, -71.1028325712656)"
1101358000,3150,,02130,Roxbury,,174 176,BOYLSTON,ST,174 176 BOYLSTON ST,"(42.315284018369, -71.102019516626)"
1101385000,3800,,02130,Roxbury,,23,DALRYMPLE,ST,23 DALRYMPLE ST,"(42.3155758671281, -71.1012963045292)"
1802767000,4000,,02126,Mattapan,,,ITASCA,ST,ITASCA ST,"(42.274894019231, -71.1007252427785)"
1202833000,3100,,02121,Roxbury,,7 9,QUINCY,ST,7 9 QUINCY ST,"(42.3159985679637, -71.0821805981361)"
